,Crime type,Latitude,Longitude,Location,Month
6088,Bicycle theft,51.752752,-1.260749,On or near Further/Higher Educational Building,2018-07
6089,Bicycle theft,51.75065,-1.258234,On or near Pembroke Street,2018-07
6090,Bicycle theft,51.754621,-1.259096,On or near Magdalen Street,2018-07
6091,Bicycle theft,51.754115999999996,-1.2617260000000001,On or near Parking Area,2018-07
6092,Bicycle theft,51.754115999999996,-1.2617260000000001,On or near Parking Area,2018-07
6093,Bicycle theft,51.753481,-1.253682,On or near Radcliffe Square,2018-07
6094,Bicycle theft,51.752021,-1.254648,On or near King Edward Street,2018-07
6095,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-07
6096,Bicycle theft,51.753331,-1.2627389999999998,On or near Further/Higher Educational Building,2018-07
6097,Bicycle theft,51.754996999999996,-1.251774,On or near Holywell Street,2018-07
6098,Bicycle theft,51.754621,-1.259096,On or near Magdalen Street,2018-07
6099,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-07
6100,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-07
6101,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-07
6102,Bicycle theft,51.756008,-1.262362,On or near Beaumont Buildings,2018-07
6103,Bicycle theft,51.75763,-1.262901,On or near Further/Higher Educational Building,2018-07
6104,Bicycle theft,51.752604999999996,-1.264446,On or near Nightclub,2018-07
6105,Bicycle theft,51.757202,-1.2606620000000002,On or near Wellington Place,2018-07
6106,Bicycle theft,51.754621,-1.259096,On or near Magdalen Street,2018-07
6107,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-07
6340,Bicycle theft,51.747582,-1.256459,On or near St Aldate'S,2018-07
6341,Bicycle theft,51.751436,-1.251601,On or near Merton Street,2018-07
6342,Bicycle theft,51.751738,-1.253971,On or near Oriel Square,2018-07
6343,Bicycle theft,51.750091999999995,-1.2595319999999999,On or near Further/Higher Educational Building,2018-07
6344,Bicycle theft,51.746332,-1.256335,On or near Abingdon Road,2018-07
6392,Bicycle theft,51.762918,-1.260148,On or near Further/Higher Educational Building,2018-07
6393,Bicycle theft,51.7621,-1.263074,On or near Woodstock Road,2018-07
6394,Bicycle theft,51.75974,-1.261084,On or near Further/Higher Educational Building,2018-07
6395,Bicycle theft,51.762268,-1.271258,On or near Pedestrian Subway,2018-07
6396,Bicycle theft,51.758788,-1.2611430000000001,On or near Little Clarendon Street,2018-07
6413,Bicycle theft,51.752075,-1.282041,On or near Duke Street,2018-07
6427,Bicycle theft,51.749919,-1.273644,On or near Doyley Road,2018-07
6434,Bicycle theft,51.759436,-1.265595,On or near Supermarket,2018-07
6435,Bicycle theft,51.759575,-1.266303,On or near King Street,2018-07
6446,Bicycle theft,51.753889,-1.265714,On or near Upper Fisher Row,2018-07
6447,Bicycle theft,51.757884999999995,-1.269242,On or near Canal Street,2018-07
6448,Bicycle theft,51.754914,-1.268508,On or near Great Mead,2018-07
6449,Bicycle theft,51.755102,-1.264043,On or near Further/Higher Educational Building,2018-07
6458,Bicycle theft,51.751841999999996,-1.21193,On or near Churchill Drive,2018-07
6459,Bicycle theft,51.753531,-1.21445,On or near Old Road,2018-07
6460,Bicycle theft,51.750667,-1.211096,On or near Massey Close,2018-07
6508,Bicycle theft,51.754371,-1.223215,On or near Further/Higher Educational Building,2018-07
6509,Bicycle theft,51.756682,-1.221814,On or near Headington Road,2018-07
6510,Bicycle theft,51.754459000000004,-1.218781,On or near Sports/Recreation Area,2018-07
6524,Bicycle theft,51.746365999999995,-1.229595,On or near Bartlemas Road,2018-07
6525,Bicycle theft,51.747289,-1.231897,On or near Manzil Way,2018-07
6536,Bicycle theft,51.751963,-1.237077,On or near Cherwell Street,2018-07
6537,Bicycle theft,51.74776,-1.235061,On or near Avenue Lane,2018-07
6538,Bicycle theft,51.749687,-1.231422,On or near Morrell Avenue,2018-07
6539,Bicycle theft,51.749984999999995,-1.23711,On or near Cross Street,2018-07
6540,Bicycle theft,51.75079,-1.2378790000000002,On or near Glebe Street,2018-07
6541,Bicycle theft,51.747211,-1.235056,On or near Cowley Road,2018-07
6542,Bicycle theft,51.749553999999996,-1.23858,On or near Rectory Road,2018-07
6571,Bicycle theft,51.747276,-1.227103,On or near Southfield Road,2018-07
6586,Bicycle theft,51.750351,-1.243753,On or near Nightclub,2018-07
6587,Bicycle theft,51.749395,-1.2404950000000001,On or near Alma Place,2018-07
6588,Bicycle theft,51.750319,-1.241493,On or near St Clement'S Street,2018-07
6589,Bicycle theft,51.751545,-1.239228,On or near Cave Street,2018-07
6590,Bicycle theft,51.750395000000005,-1.2421149999999999,On or near Penson'S Gardens,2018-07
6619,Bicycle theft,51.74537,-1.2395770000000002,On or near Denmark Street,2018-07
6620,Bicycle theft,51.743449,-1.237321,On or near Aston Street,2018-07
6621,Bicycle theft,51.743449,-1.237321,On or near Aston Street,2018-07
6622,Bicycle theft,51.74577,-1.23876,On or near Regent Street,2018-07
6629,Bicycle theft,51.745855,-1.233862,On or near Randolph Street,2018-07
6630,Bicycle theft,51.745634,-1.233113,On or near Green Street,2018-07
6631,Bicycle theft,51.745634,-1.233113,On or near Green Street,2018-07
6632,Bicycle theft,51.745173,-1.235467,On or near St Mary'S Road,2018-07
6633,Bicycle theft,51.743577,-1.232033,On or near Essex Street,2018-07
6634,Bicycle theft,51.744397,-1.229629,On or near Theatre/Concert Hall,2018-07
6635,Bicycle theft,51.744612,-1.236389,On or near Hurst Street,2018-07
6636,Bicycle theft,51.743577,-1.232033,On or near Essex Street,2018-07
6673,Bicycle theft,51.747569,-1.236224,On or near Cowley Road,2018-07
6674,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-07
6675,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-07
6676,Bicycle theft,51.747132,-1.236709,On or near Crown Street,2018-07
6677,Bicycle theft,51.747569,-1.236224,On or near Cowley Road,2018-07
6678,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-07
6679,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-07
6680,Bicycle theft,51.748204,-1.2412100000000001,On or near Temple Street,2018-07
6681,Bicycle theft,51.746506,-1.238617,On or near James Street,2018-07
6707,Bicycle theft,51.739502,-1.255447,On or near Lake Street,2018-07
6708,Bicycle theft,51.738647,-1.253926,On or near Green Place,2018-07
6709,Bicycle theft,51.739502,-1.255447,On or near Lake Street,2018-07
6710,Bicycle theft,51.742309999999996,-1.257299,On or near Chilswell Road,2018-07
6730,Bicycle theft,51.735796,-1.2524959999999998,On or near Monmouth Road,2018-07
6748,Bicycle theft,51.748742,-1.263639,On or near Oxpens Road,2018-07
6749,Bicycle theft,51.748742,-1.263639,On or near Oxpens Road,2018-07
6750,Bicycle theft,51.748742,-1.263639,On or near Oxpens Road,2018-07
6751,Bicycle theft,51.744315,-1.260148,On or near Salter Close,2018-07
6752,Bicycle theft,51.748742,-1.263639,On or near Oxpens Road,2018-07
6767,Bicycle theft,51.745471,-1.258101,On or near Buckingham Street,2018-07
6768,Bicycle theft,51.74279,-1.2564799999999998,On or near Kineton Road,2018-07
6778,Bicycle theft,51.734902000000005,-1.210617,On or near Bennett Crescent,2018-07
6790,Bicycle theft,51.747088,-1.223152,On or near Southfield Park,2018-07
6791,Bicycle theft,51.740796,-1.222,On or near Weyman Terrace,2018-07
6792,Bicycle theft,51.747088,-1.223152,On or near Southfield Park,2018-07
6793,Bicycle theft,51.739712,-1.220005,On or near Catwell Close,2018-07
6818,Bicycle theft,51.737124,-1.220151,On or near Hendred Street,2018-07
6819,Bicycle theft,51.739745,-1.226232,On or near Cricket Road,2018-07
6836,Bicycle theft,51.742774,-1.200544,On or near Troy Close,2018-07
6837,Bicycle theft,51.740364,-1.199182,On or near Fletcher Road,2018-07
6845,Bicycle theft,51.740084,-1.204299,On or near Fairfax Road,2018-07
6862,Bicycle theft,51.743837,-1.206232,On or near Town Furze,2018-07
6863,Bicycle theft,51.745482,-1.206204,On or near Dene Road,2018-07
6876,Bicycle theft,51.742985,-1.240646,On or near Stratford Street,2018-07
6886,Bicycle theft,51.737156,-1.2373399999999999,On or near Donnington Bridge Road,2018-07
6899,Bicycle theft,51.740947,-1.235524,On or near Harold Hicks Place,2018-07
6900,Bicycle theft,51.742529,-1.227242,On or near Howard Street,2018-07
6901,Bicycle theft,51.740646000000005,-1.233516,On or near Charles Street,2018-07
6914,Bicycle theft,51.733236,-1.224982,On or near Campbell Road,2018-07
6923,Bicycle theft,51.731953999999995,-1.213463,On or near Knolles Road,2018-07
6924,Bicycle theft,51.733222999999995,-1.2177129999999998,On or near Parking Area,2018-07
6925,Bicycle theft,51.732987,-1.214676,On or near Petrol Station,2018-07
6946,Bicycle theft,51.732040999999995,-1.2157209999999998,On or near Supermarket,2018-07
6947,Bicycle theft,51.732294,-1.21715,On or near Banjo Road,2018-07
6948,Bicycle theft,51.732082,-1.216372,On or near Supermarket,2018-07
6949,Bicycle theft,51.732294,-1.21715,On or near Banjo Road,2018-07
6950,Bicycle theft,51.731953000000004,-1.215997,On or near Templars Square Shopping Centre,2018-07
6967,Bicycle theft,51.731883,-1.218952,On or near Parking Area,2018-07
6968,Bicycle theft,51.731883,-1.218952,On or near Parking Area,2018-07
6969,Bicycle theft,51.731883,-1.218952,On or near Parking Area,2018-07
6984,Bicycle theft,51.732011,-1.2315770000000001,On or near Wootten Drive,2018-07
7005,Bicycle theft,51.716497,-1.207912,On or near Sports/Recreation Area,2018-07
7037,Bicycle theft,51.723879,-1.221349,On or near Elm Tree Close,2018-07
7038,Bicycle theft,51.72155,-1.232246,On or near Supermarket,2018-07
7039,Bicycle theft,51.72155,-1.232246,On or near Supermarket,2018-07
7040,Bicycle theft,51.72155,-1.232246,On or near Supermarket,2018-07
7082,Bicycle theft,51.724779,-1.2174530000000001,On or near Long Lane,2018-07
7154,Bicycle theft,51.728752,-1.1998799999999998,On or near Bobby Fryer Close,2018-07
7155,Bicycle theft,51.727659,-1.203215,On or near Ambassador Avenue,2018-07
7187,Bicycle theft,51.719837,-1.2098950000000002,On or near Falcon Close,2018-07
7188,Bicycle theft,51.719837,-1.2098950000000002,On or near Falcon Close,2018-07
7283,Bicycle theft,51.476594,-0.949216,On or near Orchard Grove,2018-07
7303,Bicycle theft,51.471844,-0.975284,On or near Knighton Close,2018-07
7304,Bicycle theft,51.467676000000004,-0.9748020000000001,On or near Church Street,2018-07
7311,Bicycle theft,51.478543,-0.965141,On or near Petrol Station,2018-07
7315,Bicycle theft,51.470641,-0.98274,On or near Blossom Road,2018-07
7332,Bicycle theft,51.466784999999994,-0.976794,On or near Bridge Street,2018-07
7333,Bicycle theft,51.467242999999996,-0.9736450000000001,On or near Supermarket,2018-07
7374,Bicycle theft,51.465309000000005,-0.9714139999999999,On or near Cardinal Close,2018-07
7419,Bicycle theft,51.470081,-1.030278,On or near Overlanders End,2018-07
7513,Bicycle theft,51.464324,-0.9832549999999999,On or near Richfield Avenue,2018-07
7514,Bicycle theft,51.462934999999995,-0.974563,On or near Brigham Road,2018-07
7515,Bicycle theft,51.464324,-0.9832549999999999,On or near Richfield Avenue,2018-07
7569,Bicycle theft,51.459489000000005,-0.996072,On or near Portman Way,2018-07
7629,Bicycle theft,51.455205,-0.99359,On or near Edinburgh Road,2018-07
7675,Bicycle theft,51.453348999999996,-0.9952139999999999,On or near Connaught Close,2018-07
7719,Bicycle theft,51.459862,-1.011451,On or near Craig Avenue,2018-07
7814,Bicycle theft,51.448885,-0.937634,On or near Wokingham Road,2018-07
7827,Bicycle theft,51.453214,-0.949076,On or near Supermarket,2018-07
7874,Bicycle theft,51.451698,-0.961517,On or near The Dell,2018-07
7916,Bicycle theft,51.456475,-0.9823930000000001,On or near Malthouse Lane,2018-07
7930,Bicycle theft,51.450881,-0.9678379999999999,On or near Nightclub,2018-07
7931,Bicycle theft,51.450203,-0.9684010000000001,On or near Crown Street,2018-07
7932,Bicycle theft,51.452546000000005,-0.96393,On or near Sidmouth Street,2018-07
8001,Bicycle theft,51.455307,-0.9721,On or near Shopping Area,2018-07
8002,Bicycle theft,51.455307,-0.9721,On or near Shopping Area,2018-07
8003,Bicycle theft,51.455890000000004,-0.977138,On or near Cheapside,2018-07
8004,Bicycle theft,51.460511,-0.9708889999999999,On or near Vastern Road,2018-07
8005,Bicycle theft,51.454021000000004,-0.974158,On or near St Mary'S Butts,2018-07
8006,Bicycle theft,51.454968,-0.9744959999999999,On or near Nightclub,2018-07
8007,Bicycle theft,51.457557,-0.9734309999999999,On or near Merchants Place,2018-07
8008,Bicycle theft,51.455890000000004,-0.977138,On or near Cheapside,2018-07
8009,Bicycle theft,51.454595,-0.9688629999999999,On or near Duke Street,2018-07
8010,Bicycle theft,51.455016,-0.969717,On or near King Street,2018-07
8011,Bicycle theft,51.455890000000004,-0.977138,On or near Cheapside,2018-07
8012,Bicycle theft,51.455890000000004,-0.977138,On or near Cheapside,2018-07
8013,Bicycle theft,51.455562,-0.970468,On or near Supermarket,2018-07
8014,Bicycle theft,51.457108000000005,-0.976507,On or near Sackville Street,2018-07
8015,Bicycle theft,51.458619,-0.9734790000000001,On or near Pedestrian Subway,2018-07
8016,Bicycle theft,51.455796,-0.969412,On or near Market Place,2018-07
8017,Bicycle theft,51.456032,-0.9758110000000001,On or near West Street,2018-07
8018,Bicycle theft,51.455890000000004,-0.977138,On or near Cheapside,2018-07
8205,Bicycle theft,51.459183,-0.961951,On or near Napier Road,2018-07
8206,Bicycle theft,51.460127,-0.955942,On or near Supermarket,2018-07
8207,Bicycle theft,51.454346,-0.962061,On or near Watlington Street,2018-07
8237,Bicycle theft,51.451862,-0.9761350000000001,On or near Talbot Court,2018-07
8238,Bicycle theft,51.454298,-0.971878,On or near Earley Place,2018-07
8239,Bicycle theft,51.453629,-0.971533,On or near Parking Area,2018-07
8240,Bicycle theft,51.452487,-0.9704790000000001,On or near Mill Lane,2018-07
8241,Bicycle theft,51.452678999999996,-0.973972,On or near Simmonds Street,2018-07
8302,Bicycle theft,51.455391999999996,-0.982878,On or near Trinity Place,2018-07
8324,Bicycle theft,51.454813,-0.9763569999999999,On or near Broad Street Mall,2018-07
8352,Bicycle theft,51.443683,-0.9341,On or near Belle Avenue,2018-07
8381,Bicycle theft,51.452436,-0.9494969999999999,On or near Granby Court,2018-07
8396,Bicycle theft,51.447751000000004,-0.9465399999999999,On or near Cardigan Road,2018-07
8420,Bicycle theft,51.449836,-0.985131,On or near Harrow Court,2018-07
8462,Bicycle theft,51.445531,-0.971902,On or near Tippett Rise,2018-07
8463,Bicycle theft,51.448312,-0.9732780000000001,On or near Berkeley Avenue,2018-07
8503,Bicycle theft,51.445757,-0.952802,On or near Avebury Square,2018-07
8504,Bicycle theft,51.445757,-0.952802,On or near Avebury Square,2018-07
8505,Bicycle theft,51.444445,-0.960933,On or near Sutherlands Avenue,2018-07
8518,Bicycle theft,51.451402,-0.9586450000000001,On or near Hospital,2018-07
8519,Bicycle theft,51.451402,-0.9586450000000001,On or near Hospital,2018-07
8556,Bicycle theft,51.443469,-1.0134459999999998,On or near Bute Street,2018-07
8575,Bicycle theft,51.445715,-1.010059,On or near Bath Road,2018-07
8599,Bicycle theft,51.442669,-0.999693,On or near Southcote Farm Lane,2018-07
8642,Bicycle theft,51.441939,-0.961191,On or near Warwick Road,2018-07
8694,Bicycle theft,51.439134,-0.966362,On or near Winchester Road,2018-07
8695,Bicycle theft,51.441410999999995,-0.968714,On or near Waterloo Rise,2018-07
8748,Bicycle theft,51.426272,-0.9876379999999999,On or near Conference/Exhibition Centre,2018-07
8749,Bicycle theft,51.434266,-0.9649760000000001,On or near Yelverton Road,2018-07
8750,Bicycle theft,51.431115000000005,-0.966558,On or near Meavy Gardens,2018-07
8799,Bicycle theft,51.428452,-0.963367,On or near Landrake Crescent,2018-07
8874,Bicycle theft,51.533264,-0.622771,On or near Bridport Way,2018-07
8890,Bicycle theft,51.534919,-0.628921,On or near Manfield Close,2018-07
8993,Bicycle theft,51.527997,-0.616847,On or near Petrol Station,2018-07
8994,Bicycle theft,51.523618,-0.615322,On or near Farnham Road,2018-07
8995,Bicycle theft,51.527997,-0.616847,On or near Petrol Station,2018-07
9103,Bicycle theft,51.520043,-0.628618,On or near Ipswich Road,2018-07
